"parameter","mean","stderr"
"Vcmax_at_25",119.764743807609,4.84773851382884
"J_at_25",181.238879319367,6.16237147238568
"Jmax_at_25",181.051025159398,6.14982484458393
"RL_at_25",1.28,0
"TPU_at_25",10.5243002659544,0.326213277940239
